Sr. No,Institute Code,Institute Name,DISTRICT,Status,Fees,Hostel,Avg Placement,Highest Placement,Minority,Branch,GOPEN,GOPEN R,GOBC,GOBC R,GSC,GSC R,GST( S & H),GST R,GVJ(S & H),GVJ R,GNT1(S & H),GNT1 R,GNT2( S& H),GNT2 R,GNT3( S& H),GNT3 R,GSEBC (S & H),GSEBC R,LOPEN( S & H),LOPEN R,LOBC(S & H),LOBC R,LSC( S&  H),LSC R,LST(S & H),LST R,LVJ(S & H),LVJ R,LNT1(S & H),LNT1 R,LNT2(S & H),LNT2 R,LNT3(S & H),LNT3 R,LSEBC(S & H),LSEBC R,MI,MI R,TFWS,TFWS R,EWS,EWS R,ORPHAN,ORPHAN R,DEFOPENS,DEFOPENS R,DEFOBCS,DEFOBCS R,DEFROBCS,DEFROBCS R,DEFSCS,DEFSCS R,DEFRSCS,DEFRSCS R,DEFSTS,DEFSTS R,DEFSEBCS,DEFSEBCS R,DEFRSEBCS,DEFRSEBCS R,DEFRNT1S,DEFRNT1S R,DEFRNT2S,DEFRNT2S R,DEFRNT3S,DEFRNT3S R,DEFRVJS,DEFRVJS R,PWDOPENS,PWDOPENS R,PWDOPENH,PWDOPENH R,PWDOBCS,PWDOBCS R,PWDOBCH,PWDOBCH R,PWDROBCS,PWDROBCS R,PWDROBCH,PWDROBCH R,PWDSCS,PWDSCS R,PWDSCH,PWDSCH R,PWDRSCS,PWDRSCS R,PWDRSCH,PWDRSCH R,PWDRSTS,PWDRSTS R,PWDRSTH,PWDRSTH R,PWDSEBCS,PWDSEBCS R,PWDRSEBCS,PWDRSEBCS R,PWDRSEBCH,PWDRSEBCH R,PWDRNT1S,PWDRNT1S R,PWDRNT2S,PWDRNT2S R,PWDRNT3S,PWDRNT3S R,PWDRVJS,PWDRVJS R,AI,AI R
1077,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Civil Engineering,60.0743746,104517,57.2537563,108432,19.4065824,162542,,,,,32.8344132,147260,59.9791975,104585,,,,,65.5460439,92278,62.2534756,99481,24.3027383,157707,18.4142776,164222,,,,,,,45.521922,128918,,,,,74.1162962,72358,20.9331029,161893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7350505,64866
1534,6223,"Pradnya Niketan Education Society'S Nagesh Karajagi Orchid College Of Engineering & Technology, Solapur",Solapur,"Un-Aided, Auto",M,,3  LPA,10.48  LPA,,Computer Science And Engineering,82.2448555,51216,78.2152555,61770,67.5033807,88319,,,70.8722936,80197,75.7359803,68454,80.5358903,56314,22.2282247,159671,77.7152332,63836,84.8482325,44030,81.658825,53239,74.9324465,70670,,,79.7465759,58147,82.9978985,49236,84.1907754,46221,,,80.003358,57623,,,87.1564824,37633,75.8854903,68151,,,62.795808,98586,4.3685242,176588,,,,,,,,,19.4065824,162569,,,,,52.814879,116903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.2213405,34142
605,3218,"Aldel Education Trust'S St. John College Of Engineering & Management, Vevoor, Palghar",Palghar,"Un-Aided, Auto",M,A,3 LPA,8 LPA,RM - Christian,Artificial Intelligence And Machine Learning,81.2928705,54205,,,,,,,,,,,,,,,,,80.2358012,56964,,,,,,,,,,,,,,,,,,,83.5380246,47875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.36187,29250
1079,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Information Technology,81.8420405,52409,81.2928705,54184,67.5033807,88309,,,62.795808,98598,63.2687832,96412,76.1358545,67429,80.5896708,56047,68.9053056,84770,82.7776364,49939,81.658825,53315,68.1767082,86336,,,65.722735,91647,,,,,77.5959933,64229,71.4038201,79014,,,86.8966951,38306,50.0957604,121648,,,52.0861037,118031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0357656,36669
1081,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Instrumentation And Control Engineering,68.0717863,86749,63.9612515,94790,18.1477824,164443,,,47.4576949,125833,30.8566205,149839,60.596742,101392,,,66.0164943,90444,72.8411223,75433,68.1767082,86188,32.8923205,146936,,,28.0884374,152886,,,65.2878345,93261,,,38.8849565,138707,,,78.9173428,60578,25.0606208,156464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.7350505,64900
1082,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Chemical Engineering,65.5460439,92197,60.8485656,100912,21.0368242,161310,,,,,,,60.6237408,101187,54.3568289,113881,60.0743746,104344,60.8485656,101003,59.3445914,105389,30.8566205,150012,,,,,17.776617,164741,,,,,75.6212581,68554,,,79.0646435,60053,34.5790896,145260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5597145,62856
1112,5161,"Dr. Vithalrao Vikhe Patil College Of Engineering, Ahmednagar",Ahmednagar,Un-Aided,M,,6.14 LPA,27.5 LPA,,Computer Engineering,81.8420405,52239,80.5358903,56276,69.8140377,82228,60.1291862,104145,,,79.5290328,58522,77.8250739,63235,80.003358,57604,72.5041736,76402,85.1704164,43437,82.1878954,51329,78.1496564,62324,,,52.9935209,116529,,,,,,,73.7743452,73646,,,83.4009466,48523,54.0859766,114289,,,71.4038201,78943,51.2783205,119027,29.1560732,151559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.3978839,36192
1078,6319,"Shahajirao Patil Vikas Pratishthan, S.B.Patil College Of Engineering, Vangali, Tal. Indapur",Pune,Un-Aided,M,NA,1.5 LPA,3.6 LPA,,Computer Engineering,73.8893284,72826,69.4683908,83586,50.0957604,121441,,,42.8773305,132977,48.6138054,124226,72.8176141,75667,,,67.8622856,86992,77.8466015,62583,76.1268781,67541,65.9366282,90735,,,,,,,,,,,74.4421543,71524,,,80.7840564,55279,46.3188381,127999,,,36.2134011,142613,,,,,,,,,,,29.6395567,150976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5789807,39598
1085,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Automation And Robotics,70.4817329,81369,69.7604398,83252,22.5662265,159118,,,,,,,65.722735,91465,,,55.2318816,112053,74.2767378,72216,71.353144,79525,42.2216419,133761,,,,,,,69.4683908,83726,54.1800379,114030,69.0659616,84511,,,80.9741447,54907,6.3063439,174990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9946164,52318
728,3471,"New Horizon Institute Of Technology & Management, Thane",Thane,Un-Aided,M,NA,3-4 LPA,7-8 LPA,,Mechanical Engineering,73.7956676,73201,37.2130338,141249,47.9842799,125057,,,,,,,,,,,,,14.7377685,167685,37.2130338,141487,,,,,,,,,,,,,,,,,,,21.472809,160687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2324016,64508
1087,5151,"Met Bhujbal Knowledge City Met League'S Engineering College, Adgaon, Nashik.",Nashik,Un-Aided,L,,3.5 LPA,5 LPA,,Civil Engineering,65.3627105,92807,60.0743746,104271,30.4575002,150503,52.814879,116871,,,54.3920183,113431,64.4664266,94572,65.2298851,93341,,,59.0509185,105790,54.1800379,113917,45.521922,128975,33.6953839,145967,,,,,,,,,,,,,68.2901694,85993,13.9490359,168302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4962805,52859
1853,6640,"N. B. Navale Sinhgad College Of Engineering, Kegaon, Solapur",solapur,Un-Aided,L,, 3.50 LPA,10.30 LPA,,Computer Science And Engineering,82.1493863,51768,77.6411427,63994,75.3410409,69366,,,79.5290328,58477,,,80.7840564,55351,,,81.7098306,53164,87.1012785,37805,85.7455441,41693,79.8240416,57957,42.2200941,134503,68.2901694,85872,74.3614357,71907,,,,,82.2448555,51309,,,86.8553381,38521,71.3988776,79269,,,52.5184688,117391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5046002,36066
1414,6155,"G.H.Raisoni College Of Engineering & Management, Wagholi, Pune",Pune,Un-Aided,M,A,4.5  LPA,18  LPA,LM - Hindi,Mechanical Engineering,73.4250332,74350,,,,,,,,,,,,,,,,,65.2298851,93583,,,,,,,,,,,,,,,,,14.1948203,168013,75.3410409,69379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.9875832,33289
1090,5151,"Met Bhujbal Knowledge City Met League'S Engineering College, Adgaon, Nashik.",Nashik,Un-Aided,L,,3.5 LPA,5 LPA,,Electrical Engineering,69.7604398,83196,68.4785771,85357,45.3423263,129607,44.3676458,130926,36.6611018,141890,69.0659616,84585,66.8404462,89416,,,38.5392182,139751,69.2652564,84272,68.4737144,85648,50.6340761,120687,15.4858883,167210,,,,,,,68.4737144,85573,35.3791065,143739,,,74.9709109,70494,16.1364215,166363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.5678435,44668
991,4613,"Suryodaya College Of Engineering & Technology, Nagpur",Nagpur,"Un-Aided, Auto",L,,N/A(84 % Placement),N/A (84% placement),,Computer Science And Engineering (Data Science),70.5008347,81163,67.5881106,88072,65.5509182,91965,19.3655345,162677,58.1588042,106226,68.7156482,85095,39.7481853,137466,,,56.5649954,110796,72.1239122,77628,70.2544031,81953,63.9612515,94878,59.9791975,104689,55.0733859,112695,,,36.6611018,141885,,,,,,,68.0717863,86515,24.7657909,156834,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7481853,137402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,4139,"Samridhi Sarwajanik Charitable Trust, Jhulelal Institute Of Technology, Nagpur",Nagpur,"Un-Aided, Auto",M,,3.5 LPA,7 LPA,LM - Sindhi,Computer Science And Engineering,69.800376,82512,,,,,,,,,,,,,,,,,73.5848302,73908,,,,,,,,,,,,,,,,,2.666143,177864,76.6199764,65998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.8025383,36845
1412,6155,"G.H.Raisoni College Of Engineering & Management, Wagholi, Pune",Pune,Un-Aided,M,A,4.5  LPA,18  LPA,LM - Hindi,Electrical Engineering,74.1162962,72406,,,,,,,,,,,,,,,,,74.1162962,72572,,,,,,,,,,,,,,,,,40.7306838,136362,78.9173428,60568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.3374029,30542
1094,5152,"G H Raisoni College Of Engineering And Management, Jalgaon",Jalgaon,"Un-Aided, Auto",L,,4.12 LPA,9 LPA,LM - Hindi,Civil Engineering,40.2848342,136654,,,,,,,,,,,,,,,,,39.7481853,137424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.6180714,69866
1297,5433,"R.C. Patel College Of Engineering And Polytechnic, Shirpur",Dhule,Un-Aided,M,,5.5 LPA,7 LPA.,LM - Gujarathi,Artificial Intelligence And Machine Learning,70.5008347,81273,,,,,,,,,,,,,,,,,67.8622856,86867,,,,,,,,,,,,,,,,,,,71.4038201,78983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6174754,33589
1201,5244,"Met'S Institute Of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",Nashik,Un-Aided,L,,3.5 LPA,6.5 LPA,,Automation And Robotics,70.4817329,81422,66.0164943,90626,47.6302148,125709,,,36.0381755,142888,66.1855163,90417,54.3568289,113622,,,65.9366282,90933,71.1376941,79794,70.889365,79907,51.1396363,119741,,,,,,,,,,,,,,,72.5041736,76553,45.3423263,129566,,,55.3559436,111652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.867385,51250
1097,5152,"G H Raisoni College Of Engineering And Management, Jalgaon",Jalgaon,"Un-Aided, Auto",L,,4.12 LPA,9 LPA,LM - Hindi,Electrical Engineering,48.6138054,124327,,,,,,,,,,,,,,,,,49.7949643,122253,,,,,,,,,,,,,,,,,,,59.0509185,105818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2204774,55372
1720,6310,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute Of Engineering &Technology, Talegaon Station, Pune",Pune,Un-Aided,M,A,,,,Mechanical Engineering,73.4250332,74387,62.7875345,98822,57.8688386,107232,,,,,72.1467831,77179,71.716606,78153,50.0353239,121803,44.4778985,130676,66.1855163,90349,55.2318816,111925,38.8659877,139108,,,57.0470967,109719,58.1158577,106833,65.2878345,93066,,,64.9513096,94149,,,77.6411427,64016,48.0648514,124714,,,82.7778711,49781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8111979,55894
1069,5125,"Pravara Rural Education Society'S Sir Visvesvaraya Institute Of Technology, Chincholi Dist. Nashik",Nashik,Un-Aided,L,,4.5 LPA,7 LPA,,Computer Engineering,73.8486985,72888,71.7682877,77678,58.1588042,106355,39.0541888,138335,60.2921536,103042,63.0759599,96830,72.2338818,77012,,,21.3858708,161010,76.7997668,65418,75.0114283,70109,64.6500162,94296,,,,,,,,,,,57.414259,107765,,,81.7658119,52955,40.2848342,136599,,,46.5102928,127064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.640873,37124
1253,5390,"K.V.N. Naik S. P. Sansth'S Loknete Gopinathji Munde Institute Of Engineering Education & Research, Nashik.",Nashik,Un-Aided,L,,3 LPA,10 LPA,,Information Technology,73.5848302,73930,72.1239122,77391,60.5030966,102160,57.0470967,109590,56.9588351,110065,,,65.8812284,91330,,,60.546705,101868,75.3410409,69518,74.6830629,70940,,,,,,,,,,,,,,,,,77.8445199,62751,37.6881791,140628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6793493,44536
1101,5152,"G H Raisoni College Of Engineering And Management, Jalgaon",Jalgaon,"Un-Aided, Auto",L,,4.12 LPA,9 LPA,LM - Hindi,Computer Science And Engineering (Data Science),69.800376,82542,,,,,,,,,,,,,,,,,70.6178643,80599,,,,,,,,,,,,,,,,,63.5258359,95800,71.7682877,77662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,5172,"R. C. Patel Institute Of Technology, Shirpur",Dhule,"Un-Aided, Auto",M,,3.5 LPA,7 LPA,LM - Gujarathi,Mechanical Engineering,67.6869909,87489,,,,,,,,,,,,,,,,,66.4751458,90087,,,,,,,,,,,,,,,,,,,74.3614357,71906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6376422,35978
1103,5160,"Sanjivani Rural Education Society'S Sanjivani College Of Engineering, Kopargaon",Ahmednagar,"Un-Aided, Auto",M,,4.50 LPA,27 LPA,,Civil Engineering,65.0377535,93708,62.8351694,98316,43.5298862,132054,38.8659877,139073,47.6302148,125465,59.0509185,105773,56.0103934,111008,59.8892661,104981,52.814879,117019,69.7639628,82815,65.9366282,90740,46.3828235,127320,25.6745674,155735,47.4576949,125800,63.5370419,95552,58.5786927,105920,,,60.1291862,104033,,,76.8897938,65099,1.2946164,178785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5250721,55155
593,3216,"Gharda Foundation'S Gharda Institute Of Technology,Khed, Ratnagiri",Ratnagiri,Un-Aided,M,,3.5 LPA,10 LPA,,Computer Science And Engineering (Artificial Intelligence And Machine Learning),76.5404634,66360,70.6178643,80479,57.1543272,109398,,,36.9291471,141523,,,,,,,56.0103934,111254,84.8307457,44107,76.1268781,67660,54.3568289,113579,,,,,,,21.3858708,160993,,,60.0743746,104560,,,86.2657912,39860,42.2216419,133779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Artificial Intelligence And Data Science,80.3003309,56621,79.4055287,59196,63.5370419,95379,,,,,,,,,75.3516004,69305,71.3988776,79133,83.7447544,46976,82.9978985,49086,65.3627105,92866,,,73.4250332,74283,77.2074577,64470,,,,,81.0485225,54644,,,88.0194481,35486,47.9076668,125310,,,34.2191386,145638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.5095821,34868
1106,5160,"Sanjivani Rural Education Society'S Sanjivani College Of Engineering, Kopargaon",Ahmednagar,"Un-Aided, Auto",M,,4.50 LPA,27 LPA,,Electrical Engineering,77.7634641,63653,76.1268781,67540,60.1291862,103929,1.5168516,178661,56.5649954,110931,69.2652564,84299,74.3614357,72031,,,70.6178643,80658,76.7776254,65666,75.2159961,69645,63.5258359,96035,,,43.8452614,131855,,,,,73.8486985,73190,73.8486985,73135,,,86.803005,38874,56.846611,110524,,,33.099972,146555,,,27.1532908,154753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.6174754,33644
1107,5160,"Sanjivani Rural Education Society'S Sanjivani College Of Engineering, Kopargaon",Ahmednagar,"Un-Aided, Auto",M,,4.50 LPA,27 LPA,,Mechanical Engineering,78.4440843,61463,75.1972801,69906,52.9935209,116459,61.6354671,100325,57.9919409,106906,62.795808,98772,71.7115,78555,73.4250332,74280,66.1855163,90125,75.1972801,70008,73.3652047,74651,53.7694785,115493,,,57.0470967,109610,42.725346,133502,68.7156482,85038,,,60.1291862,103917,,,85.5352459,41951,50.6004122,121110,,,55.2318816,112057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.6376422,35940
1084,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Electronics And Computer Engineering,77.8445199,62873,76.1358545,67385,53.7694785,115316,,,52.814879,116945,50.9307179,120254,75.8854903,68091,,,54.0859766,114343,78.1496564,62444,80.9741447,55087,64.4664266,94637,,,,,,,,,,,79.5290328,58659,,,81.9801476,52003,13.0626183,169384,,,57.3310702,107922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.8949481,43112
1080,5139,"Pravara Rural College Of Engineering, Loni, Pravaranagar, Ahmednagar.",Ahmednagar,Un-Aided,M,,4.5 LPA,12.48 LPA,,Electronics And Telecommunication Engg,77.8250739,63172,76.0337773,67827,48.777949,123564,,,,,,,,,,,55.8763225,111292,79.5290328,58543,77.7152332,63797,54.3920183,113411,,,,,,,,,,,,,,,85.3426422,42855,25.6482713,155788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.57336,43406
1063,5124,"Jagadamba Education Soc. Nashik'S S.N.D. College Of Engineering & Reserch, Babulgaon",Nashik,Un-Aided,L,,5.5 LPA,10 LPA,,Computer Engineering,73.3652047,74646,72.1239122,77407,50.0957604,121504,25.5139718,156420,57.1959853,109195,59.8892661,105079,,,,,50.0957604,121522,76.7776254,65627,73.3652047,74525,43.9565943,131160,,,,,,,,,65.2298851,93350,52.9935209,116535,,,80.5358903,56223,49.7949643,122296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1819949,45122
1111,5161,"Dr. Vithalrao Vikhe Patil College Of Engineering, Ahmednagar",Ahmednagar,Un-Aided,M,,6.14 LPA,27.5 LPA,,Civil Engineering,49.513096,122805,45.5784574,128659,6.3063439,174989,,,,,,,,,,,,,53.7694785,115396,42.725346,133388,11.8827852,170206,,,,,30.4575002,150555,43.9565943,131251,42.1597155,134584,11.047683,171207,,,,,1.0475793,178958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7854751,84648
1631,6277,"Dr. J. J. Magdum Charitable Trust'S Dr. J.J. Magdum College Of Engineering, Jaysingpur",Kolhapur,"Un-Aided, Auto",L,,,,,Artificial Intelligence And Data Science,74.3614357,71934,56.0103934,111068,41.8427081,134940,,,52.814879,116865,54.0550229,114718,60.2294112,103230,,,71.4038201,78894,70.6178643,80583,60.1504384,103715,24.5948927,157108,,,,,6.4656331,174812,,,,,70.2544031,81993,,,75.1972801,70030,60.2951569,102612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,6183,"Al-Ameen Educational And Medical Foundation, College Of Engineering, Koregaon, Bhima",Pune,Un-Aided,L,NA,,,RM - Muslim,Computer Engineering,73.3652047,74735,,,,,,,,,,,,,,,,,71.353144,79397,,,,,,,,,,,,,,,,,4.9568966,176128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1386,6145,"Jspm'S Jaywantrao Sawant College Of Engineering,Pune",Pune,Un-Aided,M,A,3.6 - 5.5  LPA,26.5  LPA,,Electrical Engineering,73.8893284,72610,72.8411223,75440,54.1800379,114150,,,,,,,63.2687832,96271,69.800376,82712,59.3445914,105571,75.5247196,68823,71.7682877,77840,48.777949,123495,,,5.6508269,175629,24.7657909,156899,62.2534756,99623,,,62.902955,97537,,,79.3458895,59395,53.7694785,115671,,,38.7773761,139611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.3812289,31743
1115,5161,"Dr. Vithalrao Vikhe Patil College Of Engineering, Ahmednagar",Ahmednagar,Un-Aided,M,,6.14 LPA,27.5 LPA,,Electrical Engineering,63.2340107,96508,60.596742,101607,19.1366185,163070,,,,,,,58.5786927,106197,,,46.2784017,128091,67.0458361,89055,60.2921536,102784,21.472809,160832,,,,,,,,,49.6193645,122712,,,,,70.5008347,81146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9375047,71269
447,3187,"N.Y.S.S.'S Datta Meghe College Of Engineering, Airoli, Navi Mumbai",Thane,Un-Aided,M,NA,3 LPA,5 LPA,,Civil Engineering,73.4468855,74128,63.5258359,96041,56.846611,110386,7.5978015,174184,59.8892661,104973,40.99476,135767,69.7604398,83213,,,47.4207012,126234,72.1239122,77408,19.4065824,162526,53.517849,116417,,,57.9919409,106998,3.3786311,177289,58.1158577,106764,,,,,,,73.8486985,73006,77.1713278,64763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.9375047,71204
1117,5161,"Dr. Vithalrao Vikhe Patil College Of Engineering, Ahmednagar",Ahmednagar,Un-Aided,M,,6.14 LPA,27.5 LPA,,Electronics Engineering (Vlsi Design And Technology),41.8427081,135043,34.8626522,144312,,,,,40.2848342,136483,,,22.974757,158865,,,,,55.0733859,112740,43.5298862,132204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,3183,"Anjuman-I-Islam'S M.H. Saboo Siddik College Of Engineering, Byculla, Mumbai",Mumbai,Un-Aided,M,A,3.5 LPA,12 LPA,RM - Muslim,Mechanical Engineering,73.4250332,74385,,,,,,,,,,,,,,,,,53.7694785,115468,,,,,,,,,,,,,,,,,41.3261276,135242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1114593,35406
1293,5418,"Guru Gobind Singh College Of Engineering & Research Centre, Nashik.",Nashik,Un-Aided,L,,3 LPA,6 LPA,,Automation And Robotics,69.2652564,84425,63.5258359,96038,21.3531102,161230,18.576741,163939,,,,,48.0648514,124725,60.8485656,100867,36.2134011,142596,68.4737144,85547,64.9513096,94036,30.8566205,150102,,,30.8111882,150317,36.6611018,141825,,,,,57.414259,107742,,,75.8854903,68247,20.1344161,162170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.6296012,58368
1120,5162,"Amrutvahini Sheti & Shikshan Vikas Sanstha'S Amrutvahini College Of Engineering, Sangamner",Ahmednagar,Un-Aided,M,,3.5 to 4.5 LPA,19.20 LPA,,Civil Engineering,69.0659616,84458,65.3627105,92682,23.9454765,158700,17.776617,164786,15.4858883,167235,38.7773761,139426,68.0717863,86705,68.4785771,85231,17.3380806,165053,71.5965758,78593,67.5881106,88215,40.99476,135928,40.2848342,136675,,,38.8659877,139179,60.0743746,104291,71.4038201,79002,20.7289199,161927,,,80.4298831,56427,11.0205778,171256,,,40.7306838,136365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6301306,57216
638,3223,"Mahatma Education Society'S Pillai Hoc College Of Engineering & Technology, Tal. Khalapur. Dist. Raigad",Raigad,Un-Aided,M,A,3.5 LPA,8 LPA,LM - Malyalam,Electrical And Computer Engineering,73.4250332,74440,,,,,,,,,,,,,,,,,67.8440824,87227,,,,,,,,,,,,,,,,,,,68.7156482,85084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.5326492,38447
1667,6284,"Vidya Pratishthan'S Kamalnayan Bajaj Institute Of Engineering & Technology, Baramati Dist.Pune",Pune,"Un-Aided, Auto",M,A,,,,Mechanical Engineering,73.3652047,74527,69.0659616,84509,46.5102928,127084,,,50.0353239,121804,55.3559436,111743,68.4737144,85801,,,69.275473,83874,73.8893284,72750,73.3652047,74583,43.8452614,131599,,,,,,,,,42.725346,133318,71.3988776,79266,,,82.5540242,50767,60.2951569,102742,,,68.0717863,86492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.5789807,39615
